name_document,len_tess,len_llm,levenshtein_distance,normalized_levenshtein,jaro_winkler_similarity,word_error_rate,sequence_matcher_ratio,length_difference,key,layout,binary
rsc37_rsc176_595.txt,4651,3860,1723,0.370457966028811,0.7709292430258629,0.6560975609756098,0.2970273763365057,-791,normal,0,0
rsc37_rsc176_484.txt,2588,2057,550,0.2125193199381762,0.8710467519253381,0.21794871794871795,0.855113024757804,-531,normal,0,0
rsc37_rsc176_837.txt,3437,3315,680,0.19784695955775386,0.8078110349718388,0.3940972222222222,0.3841824644549763,-122,normal,0,0
rsc37_rsc176_551.txt,2993,2749,601,0.20080187103240896,0.7909999140922584,0.49176954732510286,0.653430860327412,-244,normal,0,0
rsc37_rsc176_816.txt,2874,2445,982,0.34168406402226864,0.8683554868532545,0.6074600355239786,0.2575672118819327,-429,normal,0,0
rsc37_rsc176_291.txt,4602,4518,365,0.07931334202520643,0.9004349953973464,0.22831632653061223,0.39035087719298245,-84,normal,0,0
rsc37_rsc176_278.txt,2831,2773,211,0.07453196750264925,0.8996763279362338,0.2532188841201717,0.7487508922198429,-58,normal,0,0
rsc37_rsc176_690.txt,73,59,24,0.3287671232876712,0.8569419680993206,0.36,0.7878787878787878,-14,normal,0,0
rsc37_rsc176_867.txt,3297,3214,662,0.2007885956930543,0.8483755051837977,0.5049833887043189,0.5476885271079711,-83,normal,0,0
rsc37_rsc176_601.txt,3775,3698,350,0.09271523178807947,0.8272219882415951,0.29339477726574503,0.5018065034122843,-77,normal,0,0
rsc37_rsc176_390.txt,2854,2664,796,0.27890679747722497,0.8825028931595311,0.5244897959183673,0.2943095324392896,-190,normal,0,0
rsc37_rsc176_603.txt,3891,3875,239,0.06142379850938062,0.9000706318692435,0.22713414634146342,0.5382436260623229,-16,normal,0,0
rsc37_rsc176_840.txt,3434,3102,977,0.284507862550961,0.7938073464642336,0.5264900662251656,0.36046511627906974,-332,normal,0,0
rsc37_rsc176_283.txt,3373,3320,304,0.09012748295286095,0.8288376252590024,0.288695652173913,0.37382339757956073,-53,normal,0,0
